رقم الصنف,الوصف,عدد الباركودات,الباركودات
26237,بسكوت ليل 50 جرام leil,1,8690526075556
26238,بسكوت ليما 16 جرام - باكو  × 24 Lima,3,2008284001216 | 2008284001230 | 6251577248041
26239,بسكوت ليما 16 جرام Lima,4,2008284001193 | 2008284001186 | 2008284001483 | 2008284001490
26240,بسكويت مارشميلو 50 جرام-- باكو×24 Alsahl,1,8690481142102
26241,بسكويت مارشميلو بجوز الهند 50 جرام Alsahl,1,8690481042105
26242,بسكوت مارشملو توينز 30 جرام - باكو × 24,1,6251045405945
26243,بسكوت مارشملو توينز 30 جرام Twins,1,6251045405938
26244,بسكويت مارشميلو لورد 57 جرام -- باكو× 24,3,8690481111610 | 8690481111627 | 8690481111603
26245,بسكويت مارشميلو نكهة الموز لورد 57 جرام,1,8690481011620
26248,,1,8690766009205
26249,بسكوت مانيلا اكس تو 25 جرام - باكو × 24,2,18681038212505 | 18681038210037
26250,بسكوت مانيلا اكس تو 25 جرام Manela X2,2,8681038212508 | 8681038210030
26251,بسكوت مانيلا بندق 60 جرام  - باكو × 24 XXL,2,18681038210518 | 18681038210525
26252,بسكوت مانيلا جوز هند 60 جرام  Manela,2,8681038210528 | 8681038210511
26254,بسكوت مستر بايت 40 جرام - باكو × 24,5,8697439302298 | 8697439303585 | 8697439303554 | 8697439305046 | 8697439305312
26255,بسكوت مستر بايت 40 جرام MR.Bite,4,8697439303578 | 8697439303547 | 8697439305305 | 8697439305039
26258,,1,7622210695819
26259,بسكوت نسكويك نسلة اصفر 26.7 جرام,1,8690632049168
26260,بسكوت نسكويك نسلة اصفر 26.7 جرام - باكو,1,8690632049144
26261,بسكوت نسلة شوكولاتة 27 جرام Nestle,1,8690632056753
26262,بسكوت هابي بريك 18 جرام - باكو × 24,1,6291003081941
26263,بسكوت هابي بريك 18 جرام Happy,1,6291003081934
26265,بسكويت هابي ديز بندق 200 جرام Happy,3,5908234804744 | 5908234804737 | 5908234801262
26266,بسكوت هاي هاي ساندويش 24 جرام hay hay,1,8691066112336
26267,بسكوت هاي هاي ساندويش 24 جرام - باكو* 24,1,8691066112312
26268,بسكوت وافو كاكاو 60 جرام - باكو × 24,2,8681270455794 | 8681270455787
26269,بسكوت وافو بندق 60 جرام Waffo,2,8681270417822 | 8681270417839
26270,بسكوت وافو الديفا ليمون 200 جرام Waffo,4,8681270480796 | 8681270484343 | 8681270480789 | 8681270484350
26276,بسكوت ويفر 40 جرام فراولة wafer X2,1,8691720041538
26277,بسكوت ويفر العودة شوكولاتة 160 جرام,5,6253350000723 | 6253350000945 | 6254000285583 | 6254000285590 | 6254000285606
26278,بسكوت ويفر العودة فاملي 320 جرام,3,6254000285965 | 6254000285552 | 6254000285958
26279,بسكوت ويفر رول الديفا جوز هند 35 جرام,4,8681270443548 | 8681270419352 | 8682718414243 | 8682718414267
26280,بسكوت ويفر رول شوكولات  30 جرام - باكو ×,3,8682718424242 | 8681270453547 | 8682718424266
26281,بسكوت ويفر رول جولد بريك دارك 400 جرام,4,5200133120254 | 5200133120247 | 5200133120377 | 5200133120223
26283,بسكوت ويفر شوكوفريتا 38 جرام - باكو *20,3,5012501981042 | 5201127981028 | 5012501981141
26284,بسكوت ويفر شوكوفريتا 38 جرام ION,3,5012501081049 | 5012501081148 | 5201127081025
26286,بسكوت ويفو رول الديفا 18 جرام - باكو × 24,1,8681270423847
26287,بسكوت ويفو رول الديفا 18 جرام Waffo Roll,1,8681270413848
26289,بسكويت اوسم بالليمون 200جم,2,7290111560910 | 7290111565960
26293,,1,7891962042275
26295,بسكويت بالكرميل نكهة الشوكولاتة 72 جرام,2,661625331728 | 661625331735
26296,بسكويت بريتل 17 جرام - باكو * 24  Brittle,1,8691066571126
26297,بسكويت بريتل 17 جرام  Brittle,1,8691066571133
26298,بسكويت بسكولاتا شوكولا 50 جرام -باكو *12,2,8691707196190 | 8691707196138
26299,بسكويت بسكولاتا شوكولاتة 50 جرام,2,8691707096193 | 8691707096131
26302,بسكويت بفلة اوليو ليمون 140 جرام Oleyo,6,8682054112209 | 8682054113978 | 8682054112179 | 8682054114005 | 8682054112148 | 8682054113947
26305,بسكويت بوكر 15 جم بالبندق,2,80957232 | 80859857
26306,بسكويت بوكر 15 جم بالبندق كرتونة / 32,2,8004800003317 | 8004800003300
26307,بسكويت بوكر 45 جم بالبندق,5,8004800023018 | 8004800023049 | 8004800023001 | 8004800023032 | 8004800023025
26308,بسكويت بوكر 45 جم باكو  × 20 بالبندق,5,8004800003218 | 8004800003201 | 8004800003249 | 8004800003225 | 8004800003232
26310,بسكويت تام 83 جرام Torku,1,8690120059105
26312,,2,7622201428723 | 7622202224201
26314,بسكويت توركو تام دايجستف 131جرام - باكو ×,1,8690120534220
26330,بسكويت جوبلانا بالبندق 48 جم,2,5900394006518 | 5900394007577
26332,ويفر رول 360 جرام Gofrette TIME,2,8691066170015 | 8691066111612
26333,بسكويت جونيا 10 قطع بسيز,2,2005990974117 | 2005967688009
26336,بسكويت دايجستف جولون 365 جرام,10,8410376026979 | 8410376026962 | 8410376033267 | 8410376023831 | 8410376029079 | 8410376047578 | 8410376024326 | 8410376009408 | 8410376016857 | 8410376010701
26338,بسكويت دلما 30 جرام Dalma,2,2008284001025 | 2008284001032
26339,بسكويت دلما اكستريم بالبندق 30 جم,3,2008284001025 | 2008284001018 | 2008284001032
26343,بسكوت سمايل بالكريمة 190 جرام Smile,3,6194002510385 | 6194002510194 | 6194002510293
26345,بسكويت سيد افندي علبة 24 قطعة,1,6254000285798
26347,سكويت عرجريوت بالبرتقال 300 جرام,3,7290112966049 | 7290008775823 | 7290008775816
26350,بسكويت فايف ستار 68 جرام -- باكو *24,2,8681270476997 | 8681270477000
26351,بسكويت فايف ستار 68 جرام ِAlvien,2,8681270466998 | 8681270467001
26354,بسكويت فيوريلا توداي 30 جرام -- باكو * 24,2,8695504168084 | 8695504167131
26355,بسكويت فيوريلا توداي كريمة البندق 30 جرام,2,8695504168077 | 8695504167124
26361,,1,6281016901725
26362,بسكويت لواكر 17.5 جم,1,80001683
26366,بسكويت لواكر بالبندق 25 جم باكو × 25,4,8000380102181 | 8000380142996 | 8000380102174 | 8000380102167
26367,بسكويت لواكر بالبندق25 جم,3,80001447 | 80001355 | 80001478
26370,,1,8000380141937
26373,بسكويت لوكر جاردينا بندق 200 جرام,2,8000380007257 | 8000380144044
26377,بسكويت محشي شوكولاته 70 جرام - باكو * 24,1,8681270477888
26378,بسكويت محشي شوكولاته 70 جرام MisKids,1,8681270467889
26380,بسكويت موزاييك 60 جرام -- باكو * 24,1,8681270426398
26381,بسكويت موزاييك 60 جرام Alvien,1,8681270416399
26383,بسكويت نستله بشكولاته 27 جرام -باكو*20,1,8690632056791
26390,بسكويت ويفر 20 جرام Slim Gofrette,1,8691066501031
26392,بسكويت ويفر  تريبلاكس 20 جرام -باكو * 24,1,8691707194004
26393,بسكويت ويفر  تريبلاكس 20 جرام  Triplex,1,8691707094007
26394,بسكويت ويفر نفيس كالوري محشو بالشوكولاتة 6,1,2009771290151
26396,بوب كورن توب ماكس بطعم الشطة 40جم,3,6253802731366 | 6253802731380 | 6253802731397
26397,بيض العاب ارنب هابي 2 جرام - مرطبان ×,1,8680945417112
26398,بيض العاب ارنب هابي 2 جرام Happy,1,8680945417105
26402,توفي بور كراميل 450 جرام,1,8680495010047
26403,,1,8717399044646
26405,توفي واويل شوكولاتة وحليب 1 كيلو Tofflairs,2,5900102021352 | 5900102020348
26408,تويلر 107.5 جرام -باكو*5 Twirl,2,7622210629555 | 7622210989246
26409,,2,7622202300585 | 5000201499776
26412,جلي بيبيتو 1 كيلو,4,8690146632917 | 8690146655510 | 8690146134152 | 8693323350451
26413,جيلي يومي جمي بطعم فواكه 1000 جم,12,8698644463507 | 8690120110097 | 8690120109930 | 8690120109695 | 8690120110134 | 8690120058986 | 8690120110059 | 8690120109770 | 8690120110035 | 8690120110325 | 8690120109954 | 8690120110219
26414,جلي توركو ميني كولا 80 جرام Torku,2,8690120112886 | 8690120113258
26415,,7,8436014444592 | 8436014444547 | 8436546518068 | 8436014445506 | 8436014445209 | 8436014444028 | 8436014444042
26416,,3,6975043141840 | 6971486428968 | 8456974111433
26418,جلي ميمكس بون بون 936 جرام BonBon,1,6223004352218
26422,جيلي بينز 120جم,1,6910289044401
26423,جيلي بينز 38 جم,1,8654155254652
26424,جيلي بينز 80 جم,1,10012345678902
26425,جيلي بينز 80 جم طويل,1,6910289044579
26426,جيلي بينز 90جم عكاز,7,6910289447721 | 6928961200069 | 6928961200489 | 6928961226168 | 6928961200397 | 6928961272325 | 6928961200281
26431,,3,4009900513791 | 4009900482967 | 4009900532426
26433,حلقوم وادي المعطر  100جرام,1,92600690
26436,حلو بلجيكي زبدة تريفين اورفينا 1 كيلو,1,5410381003005
26437,حلو تايس بطعم الشوكولاتة 700جم,2,8690997172969 | 8690997173409
26438,حلو جامي مرطبان 100 جم,1,10034
26440,حلو دروبس بريسك اخضر كرتونة /20,1,6251645000311
26441,حلو دروبس بريسك ازرق كرتونة/20,1,6251645000281
26448,,1,96589021
26453,خبز توست محمص كامل الدسم,3,7891962055220 | 7891962055213 | 7891962055244
26454,خبز محمص ايتي 120 جرام Form,2,8690526077031 | 8690526097015
26455,خبز محمص ماكسي ميك طماطم 25 جرام,2,8681248481183 | 8681248481176
26458,دربس اونكس  بطعم الليمون,7,8690997081605 | 8690997074874 | 8690997080370 | 8690997081629 | 8690997074485 | 8690997074478 | 8690997074881
26459,دربس اونكس بالبرتقال كرتونة /24,5,8690997174871 | 8690997180377 | 8690997174888 | 8690997174475 | 8690997174482
26464,دربس بنبون جامي 120 جرام,1,6223000306338
26468,دربس منتوس نعناع 37.5  جرام mentos,5,87108019 | 87345223 | 87108026 | 87311396 | 80866251
26469,دربس منتوس بالنعناع 37.5 جرام كرتونة /20,5,6921211110019 | 8723400786184 | 6921211110156 | 8723400755968 | 8990800003658
26470,دربس منتوس بالفواكه 37.5 جم,0,
26471,دربس منتوس بالفواكه 37.5 جم كرتونة /20,0,
26473,دربس ويزرز اورجينال 150 جم باكو,1,4014400900880
26474,دروبس الماني كرز وليمون 150 جرام,8,4014600202609 | 4014600202623 | 4014600204078 | 4014600203149 | 4014600202593 | 4013197767027 | 4037719680212 | 4013197767119
26477,دروبس ايبون 700 جرام Ibon,1,8693029604353
26478,دروبس بريسك 34 جم ازرق,1,6251645000274
26479,دروبس توركو قهوة 600 جرام Torku,3,8690120108513 | 8690120108537 | 8690120108483
26485,دروبس سكوتش منت 15 جرام - باكو × 12,2,6223000300947 | 6223004960321
26486,دروبس سكوتش منت 20 جرام Scotch,2,6223000300930 | 6223000302491
26488,دروبس سمايل كاندي 25 جرام Smile Candy,1,6906911131434
26489,دروبس كريمر 24 جرام - باكو × 24,1,6291003078811
26490,دروبس كريمر 24 جرام Kraemer,1,6291003078804
26491,نوجا الكراميل 1 كيلو بالالايكا,10,4630015548547 | 4650100922441 | 4630015549742 | 4650100923455 | 4650100923479 | 4650100922465 | 4650100923431 | 4650100922656 | 4650100922427 | 4630015548561
26492,دروبس مي اند يو نعنع 40 جرام - باكو × 24,5,6271028010126 | 6271028010133 | 6271028080846 | 6271028010140 | 6271028080839
26493,دروبس مي اند يو فراولة 40 جرام Me&u,5,6271028010119 | 6271028080822 | 6271028010096 | 6271028010102 | 6271028080815
26494,دروبس ميمكس بون بون تفاح 35 جرام - باكو ×,4,6223004351945 | 6223004352065 | 6223004351976 | 6223004352157
26495,دروبس ميمكس بون بون تفاح 35 جرام,6,6223004351938 | 6223004352058 | 6223004351969 | 8680495010122 | 6223004352140 | 6223004353802
26496,دروبس ميمكس بون بون فواكه 936 جرام,1,6223004352232
26498,دروبس ويزرز اورجينال 50 جرام Werthers,4,40144016 | 4014400916607 | 4014400922615 | 4014400915945
26506,رولو نستيلا 166 جرام - باكو*4 Rolo,1,7613036080118
26508,زنجبيل حلقوم سادة 125 جرام Gingerbon,3,8991002202719 | 8991002301436 | 8991002340305
26513,سمسمية باولا - باكو × 50 Bawla,1,6223000309452
26514,سمسمية باولا - قطعة Bawla,1,6223000302835
26521,شوفان الحياة فانيلا 315 جرام Date & Fate,2,6921249117578 | 6921249296853
26523,شوكلاتة اولكر دارك 60 جرام,4,8690504142973 | 8690504142966 | 8690504142959 | 8690504145073
26527,شوكلاتة جالكسي كرسبي 36 جرام,4,6294001800279 | 6221134004953 | 6294001824176 | 6294001815266
26529,,1,4607065738204
26537,شوكولا جنتي نوكا الكاكاو 35 جرام -- باكو * 12,4,6211044901183 | 6211044901435 | 6211044901589 | 6211044901091
26538,شوكولاته تشيز كيك  3 جرام  Lia,2,8690120119984 | 8690120119960
26541,شوكولاتة احجار دراجيه 13 جرام Faklata,1,8680244921501
26542,شوكولاتة احجار دراجيه 13 جرام - باكو × 24,1,8680244921525
26544,شوكولاتة اديكتو 50 جرام - باكو * 18 Adicto,1,8690526608877
26545,شوكولاتة اديكتو 50 جرام Adicto,1,8690526018874
26550,شوكولاتة ام اند ام 45 جرام - باكو × 24,3,5000159460309 | 5000159460293 | 5000159304238
26551,شوكولاتة ام اند ام ازرق 45 جرام M&Ms,1,5000159304245
26552,شوكولاتة امد اند ام بندق 165 جرام M&MS,4,5000159516297 | 5000159516235 | 5000159516259 | 5000159516273
26555,شوكولاتة ليلي ايتي 45% 70 جرام - باكو × 6,3,8690526618005 | 8690526617589 | 8690526767772
26556,شوكولاتة اديكتو ايتي بندق 70 جرام Adicto,4,8690526067568 | 8690526097596 | 8690526067520 | 8690526098043
26557,,1,7891008117974
26558,شوكولاتة ايوم سادة باللوز 90 جرام - باكو * 10,4,5201127939234 | 5201127930231 | 5201127930248 | 5201127939241
26559,شوكولاتة ايون سادة قهوة اسبريسو 90 جرام,5,5201127030238 | 5201127039248 | 5201127030245 | 5201127039231 | 5201127039286
26567,شوكولاتة باونتي 57 جرام - بدون باركود,3,5000159559034 | 5000159558280 | 5000159561976
26576,شوكولاتة بريك لوز 40 جرام - باكو × 14,3,5201127922878 | 5201127949875 | 5201127913876
26577,شوكولاتة بريك بندق 40 جرام Break,3,5201127013873 | 5201127022875 | 5201127049872
26578,شوكولاتة بريك بندق 85 جرام Break,6,5201127013866 | 5201127022868 | 5201127029867 | 5201127049865 | 5201127010865 | 5201127033819
26579,شوكولاتة بريك ديلايتس 16.5 جرام Delights,1,6291003084676
26580,شوكولاتة بريك ديلايتس 16.5 جرام - باكو × 24,1,6291003084683
26581,شوكولاتة بريك ريزو 20 جرام - باكو × 24,2,6291003084041 | 6291003087875
26582,شوكولاتة بريك ريزو 20 جرام Rizzo,2,6291003084034 | 6291003087868
26583,شوكولاتة بريك سوبا 19 جرام - باكو × 24,1,6291003076220
26584,شوكولاتة بريك سوبا 19 جرام Supa,1,6291003076213
26585,شوكولاتة بور 50 جرام - باكو × 24 Power,1,8693029600942
26586,شوكولاتة بور 50 جرام Power,1,8693029600935
26593,,1,5000159558303
26594,شوكولاتة بيجم 60 جرام 007,2,8682213001658 | 8682213001627
26595,شوكولاتة سيارات 8 جرام,2,6971486420764 | 6971486423147
26598,شوكولاتة ترينتو 35 جرام - باكو × 16 Trento,1,7896306621017
26599,شوكولاتة ترينتو 35 جرام Trento,1,7896306621130
26600,شوكولاتة توبليرون سادة 100 جرام Toblerone,3,7614500010013 | 7622300107949 | 7614500010617
26601,شوكولاتة توبليرون 35 جرام Toblerone,0,
26602,شوكولاتة نوتيلا جو 35 جرام Nutella GO,2,5020411121182 | 80050100
26603,شوكولاته توركو التيراميسو 32 جرام  Lia -,2,8690120553238 | 8690120553252
26604,شوكولاتة توركو كراميل 4 × 4 - 32 جرام,4,8690120049656 | 8690120132389 | 8690120058139 | 8690120049557
26605,شوكولاتة توركو كراميل 4 × 4 - 32 جرام -,2,8690120511962 | 8690120561868
26606,شوكولاتة توركو بالفستق 4 × 4 - 50 جرام,1,8690120041841
26607,شوكولاتة توركو بالفستق 4 × 4 - 50 جرام -,1,8690120141848
26608,شوكولاتة توركو بالبندق 70 جرام Torku,1,8690120040578
26609,شوكولاتة توركو بالبندق 70 جرام - باكو × 12,1,8690120141862
26614,شوكولاتة توركو كلاسيك 20 جرام Classic,1,8690120041353
26616,شوكولاتة توركو كلاسيك دارك 35 جرام,1,8690120006086
26617,شوكولاتة توركو كلاسيك حليب 35 جرام - باكو,0,
26618,شوكولاتة توركو كلاسيك حليب وبندق 35 جرام,1,8690120049373
26619,شوكولاتة توركو كلاسيك دارك 35 جرام - باكو,1,8690120513522
26620,شوكولاتة توركو كلاسيك دارك 60% 70 جرام,1,8690120041469
26621,شوكولاتة توركو كلاسيك دارك 60% 70 جرام -,1,8690120141466
26626,شوكولاتة تورين بندق 52 جرام - باكو × 24,1,8697439301994
26627,شوكولاتة تورين بندق 52 جرام Toren,1,8697439301987
26628,شوكولاتة تورين جوز هند 52 جرام - باكو ×,1,8697439304315
26629,شوكولاتة تورين جوز هند 52 جرام Toren,1,8697439304308
26630,,1,8697439304315
26632,شوكولاتة تورين كلاسيك 45 جرام - باكو × 24,5,8697439304063 | 8697439301611 | 8697439302236 | 8697439302861 | 8697439304131
26633,شوكولاتة تورين كلاسيك 45 جرام Toren,7,8697439301604 | 8697439304056 | 8697439302229 | 8697439302854 | 8697439304100 | 8697439307255 | 8697439302014
26634,,1,4014400934496
26640,شوكولاتة توين فورس 50 جرام twinforce,1,8690120080291
26641,شوكولاتة جالكسي 114 جرام Cookie,6,5900951139246 | 5000159510745 | 5900951255687 | 5900951260506 | 5900951250903 | 5000159533058
26643,شوكولاتة جالكسي 36 جرام - باكو × 12,2,6221134004977 | 6221134000931
26645,,1,6221134004922
26646,,1,6294001827719
26649,شوكولاتة جالكسي مينسترز باكو 80 جم,1,5000159503822
26650,شوكولا جنتي داكنة 35 جرام jannaty,4,6211044901572 | 6211044901428 | 6211044901176 | 6211044901084
26651,شوكولاتة جولا - باكو × 25 Jola,1,10044
26652,شوكولاتة جولا Jola,1,6224008264354
26655,شوكولاتة دارجيه رولي Roly,1,6223000302163
26656,شوكولاتة دوبلو 18.2 جرام Duplo,1,42276630
26659,شوكولاتة دورينا 100 جرام Dorina,4,3850102507399 | 3850102508648 | 3850102519521 | 3850102519538
26660,,1,3850102958023
26662,شوكولاتة ديري فاين 200 جرام Dairy Fine,1,25387643
26665,شوكولاتة ديري ميلك كادبوري 26 جرام Dairy,1,7622210292926
26666,شوكولاتة ديري ميلك كادبوري 26 جرام - باكو,1,7622210292957
26667,شوكولاتة ديري ميلك كادبوري 37 جرام Dairy,5,7622210292742 | 7622210292704 | 7622300829384 | 7622210432193 | 7622202205101
26668,شوكولاتة ديري ميلك كادبوري 37 جرام - باكو,3,7622210292797 | 7622210292711 | 7622210432209
26673,شوكولاتة رتر سبورت 100 جرام,7,4000417021007 | 4000417018007 | 4000417019004 | 4000417932006 | 4000417222008 | 4000417023001 | 4000417026002
26676,شوكولاتة روتو ستيك 35 جرام - باكو × 24,3,8681270427104 | 8681270429313 | 8681270422031
26677,شوكولاتة روتو ستيك 35 جرام Rotto,3,8681270417105 | 8681270419314 | 8681270412032
26678,شوكولاتة روتو ماكسي 50 جرام - باكو × 24,1,8681270450485
26679,شوكولاتة روتو ماكسي كراميل 50 جرام Rotto,1,8681270440486
26680,شوكولاتة رونا جوي 15 جرام - باكو × 48,1,6224000807610
26681,شوكولاتة رونا جوي 15 جرام Rona Joy,1,6224000807573
26682,شوكولاتة روندي  150 جرام Roundie milk,2,7622210734020 | 7622210734099
26686,شوكولاتة سامبا 50 جرام - باكو × 24 Samba,1,8690120170978
26687,شوكولاتة سامبا 50 جرام Samba,2,8690120117751 | 8690120070971
26691,,1,5000201496386
26692,مارس,1,5000159407236
26699,شوكولاته سوبرمي ملكا 6 قطع 180 جرام,1,7622300292508
26700,شوكولاتة شاريكس 50 جرام - باكو × 24,1,8681161908194
26701,شوكولاتة شاريكس 50 جرام Shrex,1,8681161908187
26702,شوكولاتة شوجوتين 100 جم بالتوت البري,22,4000415002206 | 4000415028701 | 4000415001803 | 4000415002008 | 4000415004408 | 4000415007706 | 4000415039707 | 4000607001406 | 4000415143800 | 4000415040109 | 4000415111908 | 4000415028305 | 4000607854705 | 4000607851001 | 4000607850004 | 4000607852008 | 4000607731808 | 4000607732201 | 4000607731600 | 4000415744502 | 4000415832100 | 4000415851705
26704,شوكولاتة شوكو فست 60 جرام - باكو *6 Torku,2,8690120527239 | 8690120141282
26705,شوكولاتة شوكو فست 60 جرام Torku,2,8690120075839 | 8690120041285
26706,شوكولاتة طبيخ كنتون 200 جرام Kenton,1,8690547189423
26708,شوكولاتة عليت 40 جرام,2,72909768 | 7290119372768
26709,شوكولاتة عليت شوكولاتة  45 جرام,3,72917893 | 7290112334886 | 7290112334893
26710,شوكولاتة عليت بسكز مان 40 جرام,1,72993767
26711,شوكولاتة عليت بقرة كوكيز 98 جرام - اخضر,2,7290107951678 | 7290005200908
26712,شوكولاتة عليت بقرة فراولة 100 جرام,6,7290008747424 | 7290000170053 | 7290100850008 | 7290001814222 | 7290008750677 | 7290000170077
26714,شوكولاتة عليت بندق 30% 100 جرام,1,7290107955812
26715,شوكولاتة عليت بالنوجا و الأرز 45 جرام,1,72917367
26716,شوكولاتة فالسي 55 جرام - باكو × 24 Valse,2,8681161908545 | 8681161908484
26717,شوكولاتة فالسي 55 جرام Pistachio,4,8681161908538 | 8681161908477 | 8681161908552 | 8681161908514
26718,شوكولاتة فالسي 57 جرام - باكو × 24 Valse,1,8697442107040
26719,شوكولاتة فالسي 57 جرام Valse,1,8697442107033
26720,شوكولاتة فانيلي 25 جرام - باكو × 24 Vanelli,1,8682077105653
26721,شوكولاتة فانيلي 25 جرام Vanelli,1,8682077005656
26722,,1,7622210625694
26724,,1,620294
26725,شوكولاتة فريرو روشيه 37.5 جرام - باكو × 16,1,8000500047873
26729,,2,50312351 | 50201013
26730,شوكولاتة فليك كادبوري 18 جرام Flake,2,5000312003602 | 7622201719852
26731,شوكولاتة فليك كادبوري 18 جرام - باكو × 36,1,5000312104316
26732,شوكولاتة فوستيكا 130 جرام - زجاجة Fostika,3,6928961272202 | 6928961272172 | 6928961272189
26733,شوكولاتة فوستيكا 150 جرام Fostika,2,6928961272226 | 6928961272219
26734,شوكولاتة فوستيكا 230 جرام Fostika,2,6928961272257 | 6928961272240
26735,شوكولاتة فوستيكا 300 جرام - Fostika,2,6928961272363 | 6928961272356
26736,شوكولاتة فوستيكا 50 جرام - Fostika,1,6928961272295
26747,شوكولاتة كادبوري ديري ميلك بندق 227 جرام,1,6221021120001
26749,شوكولاتة كاسيك 8 جرام - باكو × 24 Kasik,2,8699270012992 | 8699270013005
26750,شوكولاتة كاسيك 8 جرام Kasik,2,8699270012817 | 8699270012824
26754,شوكولاتة كت كات شنكي فستق 42 جرام,5,3800020403631 | 3800020432259 | 7613037251678 | 6294003582678 | 3800020412169
26755,شوكولاتة كتاكيت ماكسي 50 جرام Katakit,1,8681270460705
26756,شوكولاتة كتاكيت ماكسي 50 جرام - باكو × 24,1,8681270470704
26762,شوكولاتة كندر بيض 20 جرام Surprise,2,40084107 | 54088191
26763,شوكولاتة كندر جوي بيض ولد 20 جرام,4,80974482 | 80768258 | 80135890 | 80916628
26764,شوكولاتة كندر ولد 50 جرام 4 اصابع,1,80177609
26766,,4,8690632764474 | 8690632550886 | 8690632550725 | 8690632059150
26767,شوكولاتة كيسيز 508جم,1,34000129164
26768,شوكولاتة كيندر اصابع 8 اصبع - باكو × 10,2,8000500042793 | 4008400200217
26769,شوكولاتة كيندر اصابع 8 اصبع,1,80177616
26770,شوكولاتة كيندر بيونو بندق 43 جرام - باكو × 30,1,8000500073698
26771,شوكولاتة كيندر بيونو بندق 43 جرام Bueno,2,80052760 | 80960270
26772,شوكولاتة لافينيلي رول 19 جرام - باكو × 24,2,4811683001811 | 4811683001804
26773,شوكولاتة لافينيلي رول شوكولاتة 19 جرام,2,4811683000463 | 4811683000395
26774,شوكولاتة لفيفا 35 جرام - باكو × 24 Laviva,2,8690504946724 | 8690504960553
26775,شوكولاتة لفيفا 35 جرام Laviva,2,8690504065395 | 8690504187509
26777,,1,10047
26778,شوكولاتة ليون وايت 30 جرام  - بدون باركود,0,
26779,شوكولاتة ليون وايت 30 جرام - شريط × 6,2,7613035502369 | 7613034674739
26785,,1,8445291609457
26786,شوكولاتة مالتيزر حبيات 37 جرام - Maltesers,1,5000159555715
26787,,1,538008
26789,شوكولاتة مامبو 30 جرام - باكو × 24,1,6224000807962
26790,شوكولاتة مامبو 30 جرام Mambo,1,6224000807986
26793,شوكولاتة مكنتوش 1 ك Quality Street,1,7613036883917
26794,شوكولاتة ملكا 100جرام  milka - DAIM,24,7622210078131 | 7622300498429 | 7622300185015 | 7622210442086 | 4025700001450 | 7622201050757 | 3045140280902 | 3045140105502 | 7622400883033 | 7622210644794 | 4025700001023 | 7622300026752 | 3045140280803 | 7622210983367 | 7622210578266 | 7622210262202 | 7622210983381 | 7622210397119 | 7622210286123 | 7622210615084 | 7622210611239 | 7622210824721 | 7622210834829 | 7622210983343
26795,شوكولاتة ملكا  لوز 300 جرام milka,5,7622210999016 | 7622200009084 | 7622210240200 | 7622210384362 | 7622210275516
26796,شوكولاتة مالك الفريز و التوت 40 جرام malik1,3,8682213002983 | 8682213002969 | 8682213002976
26797,شوكولاتة مالك 40 جرام باكو * 24  malik1,3,8682213003010 | 8682213002990 | 8682213003003
26798,شوكولاتة ملكا اوريو  37جرام -باكو*36 milka,1,7622210723666
26799,شوكولاتة ملكا اوريو  37جرام milka oreo,1,7622210713650
26800,شوكولاتة ملكا ببلي 250 جرام milka bubbly,1,7622210217318
26801,شوكولاتة ملكا ببندق 270 جرام milka,1,7622210999566
26802,شوكولاتة ملكا ترولاد 280 جرام milka,1,7622210690852
26803,شوكولاته ملكا كريمي 13 قطعة 260 جرام,1,7622210717696
26804,,1,7622210704740
26805,,1,7622210704764
26806,شوكولاتة ميلودي حليب 22 جرام - باكو × 25,4,8697401460940 | 8697401461282 | 8697401460957 | 8698563046454
26807,شوكولاتة ميلودي حليب 22 جرام Melodi,3,86928878 | 86931496 | 86928861
26808,شوكولاتة ميلودي توت 25 جرام - باكو × 30,1,8698563041855
26809,شوكولاتة ميلودي توت 25 جرام Melodi,1,8698563041848
26812,,1,86934299
26817,شوكولاتة ميلينيوم 50 جرام - باكو × 16,2,4820075507954 | 4820075507985
26818,شوكولاتة ميلينيوم فواكه 50 جرام Millennium,2,4820075507978 | 4820075507947
26819,شوكولاتة ميلينيوم مكسرات وفواكه 80 جرام,3,5902574395092 | 5902574395276 | 5902574395078
26820,شوكولاتة ميلينيوم بابلي توت 32 جرام,2,4820075504625 | 4820075504564
26821,شوكولاتة ميلينيوم بابلي 32 جرام باكو × 16,2,4820075504571 | 4820075504632
26823,شوكولاتة نسلة 55% كاكاو 65 جرام Ince,1,8690632242996
26826,شوكولاتة  نيلينو كيدز 8اصابع بالقمح,4,8606018941278 | 8606018940219 | 8606018940240 | 8606018941285
26827,شوكولاتة هابي الفارو كراميل 120 جرام,2,5908234805864 | 5908234805987
26829,شوكولاتة ويفر توست اصابع 120جم,1,2005995688972
26830,شوكولاته ويفر ملكا 30 جرام - باكو * 30,1,7622300499709
26831,شوكولاته ويفر ملكا 30 جرام Milka wafer,1,76224935
26832,شوكولاتو توركو لونيكس جوز هند 47 جرام,1,8690120069296
26833,شوكولاتو توركو لونيكس جوز هند 47 جرام -,1,8690120524146
26834,شوكولاتو نيلينو كيدز 4 اصابع بالحليب,2,8606018940011 | 8606018940080
26836,عسلية ويزوو - باكو × 12,1,6224008264989
26843,فنجر بسكويت 650 جرام  Eldenele,1,8690705723506
26844,فنجر بسكويت 650 جرام Petit Beurre,1,8690705465109
